sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_location
P011_S39_L001, Daniel Castaneda Mogollon,2020-12-15 02:04:55 -0800,COMPLETE,3916.0,27630988,102524,0.371,0,1.0,69.299,1.07,1111132,1110854,769998,"",716786,Human,"",291,189,105,18,4600384,318.659,160.869,13259928,Nasopharyngeal Swab,DNA,Canada
P312_DNA_S28_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,4501.0,16206168,151202,0.933,0,1.0,73.928,1.07,858840,858660,634920,"",594524,Human,"",317,201,109,18,4061952,340.443,164.841,7673664,Nasopharyngeal Swab,DNA,Canada
P306_DNA_S85_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,5310.0,20868084,539076,2.583,0,1.0,82.236,1.08,1646612,1646426,1354110,"",1258698,Human,"",269,191,93,18,4615024,297.271,148.186,9610736,Nasopharyngeal Swab,DNA,Canada
P276_DNA_S26_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,6164.0,26596212,729230,2.742,0,1.0,84.197,1.08,1960718,1960404,1650862,"",1524630,Human,"",279,186,100,18,3868584,307.873,155.887,12317747,Nasopharyngeal Swab,DNA,Canada
P272_DNA_S40_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,5234.0,24205196,397186,1.641,0,1.0,82.342,1.08,1382164,1381932,1138096,"",1054712,Human,"",275,177,101,18,4260661,302.236,155.219,11411516,Nasopharyngeal Swab,DNA,Canada
P269_DNA_S3_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,2679.0,21061004,43790,0.208,0,1.0,62.15,1.06,726158,725930,451306,"",424086,Human,"",297,198,104,18,4173246,325.991,162.589,10167423,Nasopharyngeal Swab,DNA,Canada
P267_DNA_S9_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,3765.0,18306476,33254,0.182,0,1.0,59.369,1.07,673492,673200,399848,"",375228,Human,"",294,213,102,18,3664599,318.9,157.127,8816492,Nasopharyngeal Swab,DNA,Canada
P264_DNA_S73_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,5758.0,17624856,299664,1.7,0,1.0,76.906,1.08,928712,928558,714238,"",661290,Human,"",195,153,62,18,4157114,216.213,104.155,8348072,Nasopharyngeal Swab,DNA,Canada
P259_DNA_S4_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:58 -0800,COMPLETE,4110.0,25543682,63444,0.248,0,1.0,66.221,1.07,1010936,1010682,669448,"",627582,Human,"",278,185,96,18,4243684,303.585,148.822,12266373,Nasopharyngeal Swab,DNA,Canada
P082_DNA_S42_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:59 -0800,COMPLETE,4844.0,19480190,335328,1.721,0,1.0,76.37,1.09,1279900,1279670,977454,"",899972,Human,"",303,198,105,18,4593328,326.581,159.48,9100145,Nasopharyngeal Swab,DNA,Canada
P066_DNA_S14_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:59 -0800,COMPLETE,4201.0,20219148,190648,0.943,0,1.0,74.536,1.07,1128672,1128454,841268,"",786810,Human,"",298,224,100,18,4149700,323.009,155.674,9545238,Nasopharyngeal Swab,DNA,Canada
P055_DNA_S87_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:59 -0800,COMPLETE,9947.0,23398900,1271618,5.435,0,1.0,88.719,1.07,2803926,2803696,2487610,"",2314804,Human,"",226,164,76,18,3754322,252.517,124.338,10297487,Nasopharyngeal Swab,DNA,Canada
P035_DNA_S21_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:59 -0800,COMPLETE,5694.0,22715126,447254,1.969,0,1.0,78.656,1.08,1636560,1636294,1287250,"",1192226,Human,"",287,183,101,14,3814325,313.367,155.339,10539283,Nasopharyngeal Swab,DNA,Canada
P019_DNA_S74_L001, Daniel Castaneda Mogollon,2020-12-15 17:08:59 -0800,COMPLETE,5277.0,21364260,385740,1.806,0,1.0,78.376,1.06,1392968,1392766,1091752,"",1025514,Human,"",261,173,97,18,4029739,297.321,157.903,9985646,Nasopharyngeal Swab,DNA,Canada
P435_DNA_S33_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,3792.0,21165410,27156,0.128,0,1.0,65.393,1.07,835670,835454,546466,"",512992,Human,"",280,177,101,18,3746828,306.125,155.589,10164870,Nasopharyngeal Swab,DNA,Canada
P434_DNA_S76_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,7270.0,22377066,1047306,4.68,0,1.0,86.154,1.09,2383056,2382780,2053102,"",1888864,Human,"",254,170,95,8,4668623,292.604,159.295,9997005,Nasopharyngeal Swab,DNA,Canada
P431_DNA_S52_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4850.0,19968926,316768,1.586,2,1.0,76.751,1.08,1113406,1113176,854546,"",789624,Human,"",297,186,107,18,4372961,323.683,163.253,9427760,Nasopharyngeal Swab,DNA,Canada
P428_DNA_S45_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,3519.0,23713614,16132,0.068,0,1.0,67.226,1.06,848540,848336,570442,"",536348,Human,"",280,188,97,12,4858684,305.284,149.895,11432537,Nasopharyngeal Swab,DNA,Canada
P425_DNA_S37_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4196.0,26355824,166482,0.632,0,1.0,73.357,1.08,1213916,1213692,890492,"",822328,Human,"",266,169,95,16,4105770,297.475,150.905,12570954,Nasopharyngeal Swab,DNA,Canada
P424_DNA_S16_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4681.0,20396446,142662,0.699,0,1.0,70.08,1.07,915996,915802,641930,"",600992,Human,"",292,213,102,18,4206965,318.298,157.846,9740225,Nasopharyngeal Swab,DNA,Canada
P421_DNA_S15_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4787.0,21487986,370322,1.723,0,1.0,78.586,1.08,1406184,1405944,1105070,"",1022712,Human,"",219,165,81,18,4430083,277.063,163.342,10040901,Nasopharyngeal Swab,DNA,Canada
P420_DNA_S86_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4876.0,26886022,135172,0.503,0,1.0,75.571,1.07,992060,991814,749712,"",699420,Human,"",264,183,92,14,3788094,291.497,145.847,12946981,Nasopharyngeal Swab,DNA,Canada
P419_DNA_S51_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4785.0,20304462,205606,1.013,0,1.0,71.592,1.07,1007096,1006886,721004,"",675848,Human,"",284,196,100,17,4626870,312.452,156.182,9648683,Nasopharyngeal Swab,DNA,Canada
P418_DNA_S63_L001, Daniel Castaneda Mogollon,2020-12-15 20:58:05 -0800,COMPLETE,4404.0,21971474,231186,1.052,0,1.0,70.599,1.07,1136058,1135812,802050,"",750328,Human,"",305,189,111,18,4403957,335.246,171.809,10417708,Nasopharyngeal Swab,DNA,Canada
